batch size,dropout,learning_rate,val_accuracy,val_precision,val_recall,val_auc
32,0.5,0.002,0.8075000047683716,0.7709251046180725,0.875,0.8919875621795654
64,0.5,0.002,0.8050000071525574,0.7904762029647827,0.8299999833106995,0.8846500515937805
128,0.5,0.002,0.824999988079071,0.8125,0.8450000286102295,0.8948749899864197
32,0.5,0.001,0.7275000214576721,0.6585366129875183,0.9449999928474426,0.8750624656677246
64,0.5,0.001,0.7425000071525574,0.6830188632011414,0.9049999713897705,0.8872874975204468
128,0.5,0.001,0.8125,0.8109452724456787,0.8149999976158142,0.8945749998092651
32,0.5,0.0005,0.824999988079071,0.8186274766921997,0.8349999785423279,0.9035374522209167
64,0.5,0.0005,0.8399999737739563,0.8695651888847351,0.800000011920929,0.9042125344276428
128,0.5,0.0005,0.8050000071525574,0.7606837749481201,0.8899999856948853,0.8954999446868896
32,0.3,0.002,0.8125,0.7729257345199585,0.8849999904632568,0.8968625068664551
64,0.3,0.002,0.8025000095367432,0.7510373592376709,0.9049999713897705,0.9044374823570251
128,0.3,0.002,0.7850000262260437,0.7244094610214233,0.9200000166893005,0.9072999954223633
32,0.3,0.001,0.8025000095367432,0.7531380653381348,0.8999999761581421,0.9020749926567078
64,0.3,0.001,0.7950000166893005,0.7341269850730896,0.925000011920929,0.9061875343322754
128,0.3,0.001,0.7799999713897705,0.7204724550247192,0.9150000214576721,0.9002999663352966
32,0.3,0.0005,0.7549999952316284,0.6795774698257446,0.9649999737739563,0.9177999496459961
64,0.3,0.0005,0.7774999737739563,0.7228915691375732,0.8999999761581421,0.8929499387741089
128,0.3,0.0005,0.8075000047683716,0.7573221921920776,0.9049999713897705,0.9093125462532043
32,0.2,0.002,0.8324999809265137,0.8009049892425537,0.8849999904632568,0.9139499664306641
64,0.2,0.002,0.8025000095367432,0.7449392676353455,0.9200000166893005,0.9079750180244446
128,0.2,0.002,0.8100000023841858,0.7649572491645813,0.8949999809265137,0.9071124792098999
32,0.2,0.001,0.8199999928474426,0.780701756477356,0.8899999856948853,0.9095375537872314
64,0.2,0.001,0.7574999928474426,0.6872727274894714,0.9449999928474426,0.8909249305725098
128,0.2,0.001,0.7975000143051147,0.7960199117660522,0.800000011920929,0.8910374641418457
32,0.2,0.0005,0.7599999904632568,0.6969696879386902,0.9200000166893005,0.897737443447113
64,0.2,0.0005,0.8299999833106995,0.8084112405776978,0.8650000095367432,0.9170000553131104
128,0.2,0.0005,0.8274999856948853,0.8393782377243042,0.8100000023841858,0.9060125350952148
